Device ID	Device Name
9d43deb56a396a3aac5bbe4b780daa0c64d4b1e1	iOSDeveloper001
fe9b80c36338f568ce070539758b2b72cd5d8ba4	刘程的 iPhone
ed43e7191002eee2b1bb0cd1fc19248e10df2b40	pk3333”的 iPhone (3)
fa10b8e2d5b1e00656f72043aaea7763782c1ec3	Lijian
2a45fe900d36c1f813866fa60fe63db0a528f78f	WenLiang
ae4bc2fce6654f60423d96b56e8cf07a4b3d6c23	iPhone (7)
3fbc154e12e119a341405f5a269494445625f339	iPhone (5)
9c26ca94a7999d0f829c6afeed5b4a00d0bb678a	iPhone
d4bc54f9621c64c9e7ce9ab8b690973f1f3fb116	新店宝的 iPhone
4da670f9e8356575efe0400f4295bdb6bfed6c62	iPhone
421ba76ad9ca35a1f5f132975ab36c74934844e5	peter”的 iPhone
0653c3118c02b7638189abdf8abf577cbb8f5dff	iPhone 5S iOS10.2
3aa60e1e6f85130d48a9cbe7f8091237d96baf9a	iPhone 10.3.3
